dates;simulation_Les Oubliels;forecast_('norain', 'Les Oubliels');forecast_('10%', 'Les Oubliels');forecast_('20%', 'Les Oubliels');forecast_('50%', 'Les Oubliels');forecast_('80%', 'Les Oubliels');forecast_('90%', 'Les Oubliels')
16/12/2004;17,457142;;;;;;
17/12/2004;17,299955;;;;;;
18/12/2004;17,129505;;;;;;
19/12/2004;17,086468;;;;;;
20/12/2004;16,994028;;;;;;
21/12/2004;16,872448;;;;;;
22/12/2004;16,733994;;;;;;
23/12/2004;16,586506;;;;;;
24/12/2004;16,43518;;;;;;
25/12/2004;16,313038;;;;;;
26/12/2004;16,184078;;;;;;
27/12/2004;16,052368;;;;;;
28/12/2004;15,920712;;;;;;
29/12/2004;15,791044;;;;;;
30/12/2004;15,664696;;;;;;
31/12/2004;15,542564;;;;;;
01/01/2005;15,4252405;;;;;;
02/01/2005;15,31308;;;;;;
03/01/2005;15,206275;;;;;;
04/01/2005;15,104893;;;;;;
05/01/2005;15,008908;;;;;;
06/01/2005;14,918233;;;;;;
07/01/2005;14,832727;;;;;;
08/01/2005;14,752222;;;;;;
09/01/2005;14,676521;;;;;;
10/01/2005;14,60542;;;;;;
11/01/2005;14,5387;;;;;;
12/01/2005;14,476143;;;;;;
13/01/2005;14,41753;;;;;;
14/01/2005;14,362647;;;;;;
15/01/2005;14,311281;;;;;;
16/01/2005;14,263231;;;;;;
17/01/2005;14,2183;;;;;;
18/01/2005;14,207275;;;;;;
19/01/2005;14,190744;;;;;;
20/01/2005;14,170393;;;;;;
21/01/2005;14,147491;;;;;;
22/01/2005;14,123003;;;;;;
23/01/2005;14,097653;;;;;;
24/01/2005;14,071993;;;;;;
25/01/2005;14,0464325;;;;;;
26/01/2005;14,021277;;;;;;
27/01/2005;13,996752;;;;;;
28/01/2005;13,973016;;;;;;
29/01/2005;13,950177;;;;;;
30/01/2005;13,928308;;;;;;
31/01/2005;13,90745;;;;;;
01/02/2005;13,887619;;;;;;
02/02/2005;13,868819;;;;;;
03/02/2005;13,85038;;;;;;
04/02/2005;13,831932;;;;;;
05/02/2005;13,813517;;;;;;
06/02/2005;14,488974;;;;;;
07/02/2005;16,927427;;;;;;
08/02/2005;19,78322;;;;;;
09/02/2005;20,201496;;;;;;
10/02/2005;20,211838;;;;;;
11/02/2005;20,059202;;;;;;
12/02/2005;19,827782;;;;;;
13/02/2005;19,567692;;;;;;
14/02/2005;19,284452;;;;;;
15/02/2005;18,991913;;;;;;
16/02/2005;18,69852;;;;;;
17/02/2005;18,409595;;;;;;
18/02/2005;18,128517;;;;;;
19/02/2005;17,916672;;;;;;
20/02/2005;17,697796;;;;;;
21/02/2005;17,498375;;;;;;
22/02/2005;17,295397;;;;;;
23/02/2005;17,093277;;;;;;
24/02/2005;16,894943;;;;;;
25/02/2005;16,702337;;;;;;
26/02/2005;16,51672;;;;;;
27/02/2005;16,338877;;;;;;
28/02/2005;16,16925;;;;;;
01/03/2005;16,008041;;;;;;
02/03/2005;15,855283;;;;;;
03/03/2005;15,710873;;;;;;
04/03/2005;15,574625;;;;;;
05/03/2005;15,47006;;;;;;
