dates;simulation_Les Oubliels;forecast_('norain', 'Les Oubliels');forecast_('10%', 'Les Oubliels');forecast_('20%', 'Les Oubliels');forecast_('50%', 'Les Oubliels');forecast_('80%', 'Les Oubliels');forecast_('90%', 'Les Oubliels')
2004-10-04;12,876359;;;;;;
2004-10-05;12,857656;;;;;;
2004-10-06;12,838459;;;;;;
2004-10-07;12,818907;;;;;;
2004-10-08;12,799109;;;;;;
2004-10-09;12,77916;;;;;;
2004-10-10;12,759133;;;;;;
2004-10-11;12,739095;;;;;;
2004-10-12;12,719095;;;;;;
2004-10-13;12,699179;;;;;;
2004-10-14;12,679379;;;;;;
2004-10-15;12,659726;;;;;;
2004-10-16;12,640242;;;;;;
2004-10-17;12,620947;;;;;;
2004-10-18;12,601855;;;;;;
2004-10-19;12,582978;;;;;;
2004-10-20;12,564327;;;;;;
2004-10-21;12,545907;;;;;;
2004-10-22;12,527724;;;;;;
2004-10-23;12,509783;;;;;;
2004-10-24;12,4920845;;;;;;
2004-10-25;12,490028;;;;;;
2004-10-26;12,485434;;;;;;
2004-10-27;12,478773;;;;;;
2004-10-28;12,470439;;;;;;
2004-10-29;12,4607525;;;;;;
2004-10-30;13,274671;;;;;;
2004-10-31;13,741631;;;;;;
2004-11-01;14,021087;;;;;;
2004-11-02;14,185823;;;;;;
2004-11-03;14,275519;;;;;;
2004-11-04;14,314226;;;;;;
2004-11-05;14,317564;;;;;;
2004-11-06;14,296167;;;;;;
2004-11-07;14,257529;;;;;;
2004-11-08;14,2070465;;;;;;
2004-11-09;14,28655;;;;;;
2004-11-10;14,318199;;;;;;
2004-11-11;14,316584;;;;;;
2004-11-12;14,291704;;;;;;
2004-11-13;14,250633;;;;;;
2004-11-14;14,198486;;;;;;
2004-11-15;14,139023;;;;;;
2004-11-16;14,075028;;;;;;
2004-11-17;14,008583;;;;;;
2004-11-18;13,941239;;;;;;
2004-11-19;13,874152;;;;;;
2004-11-20;13,808175;;;;;;
2004-11-21;13,74393;;;;;;
2004-11-22;13,681858;;;;;;
2004-11-23;13,622263;;;;;;
2004-11-24;13,565341;;;;;;
2004-11-25;13,511207;;;;;;
2004-11-26;13,4599085;;;;;;
2004-11-27;13,4114485;;;;;;
2004-11-28;13,367048;;;;;;
2004-11-29;13,325081;;;;;;
2004-11-30;13,285521;;;;;;
2004-12-01;13,361634;;;;;;
2004-12-02;13,408878;;;;;;
2004-12-03;13,434654;;;;;;
2004-12-04;13,444418;;;;;;
2004-12-05;13,442259;;;;;;
2004-12-06;13,431283;;;;;;
2004-12-07;14,633257;;;;;;
2004-12-08;16,174812;;;;;;
2004-12-09;16,977936;;;;;;
2004-12-10;17,283321;;;;;;
2004-12-11;17,359722;;;;;;
2004-12-12;17,335762;;;;;;
2004-12-13;17,229263;;;;;;
2004-12-14;17,073648;;;;;;
2004-12-15;16,889069;;;;;;
2004-12-16;16,7346;;;;;;
2004-12-17;16,557678;;;;;;
2004-12-18;16,368544;;;;;;
2004-12-19;16,27735;;;;;;
2004-12-20;16,152695;;;;;;
2004-12-21;16,007635;;;;;;
2004-12-22;15,850927;;;;;;
2004-12-23;15,688584;;;;;;
2004-12-24;15,524801;;;;;;
2004-12-25;15,385099;;;;;;
2004-12-26;15,242716;;;;;;
2004-12-27;15,100567;;;;;;
2004-12-28;14,960718;;;;;;
2004-12-29;14,824622;;;;;;
2004-12-30;14,693276;;;;;;
2004-12-31;14,567342;;;;;;
2005-01-01;14,447229;;;;;;
2005-01-02;14,333164;;;;;;
2005-01-03;14,225225;;;;;;
2005-01-04;14,123392;;;;;;
2005-01-05;14,027562;;;;;;
2005-01-06;13,937579;;;;;;
2005-01-07;13,853245;;;;;;
